category,k,seed,sample_id,label,anomaly_run_id,sam2_run_id,fusion_run_id,gt_area_fraction,gt_components,gt_thinness,area_stratum,thinness_stratum,anomaly_f1,sam2_f1,sam2_delta_f1,fusion_f1,fusion_delta_f1,fusion_vs_sam2_delta_f1,anomaly_iou,sam2_iou,sam2_delta_iou,fusion_iou,fusion_delta_iou,fusion_vs_sam2_delta_iou,mean_anomaly_inside_sam2,anomaly_pixels,sam2_pixels,intersection_pixels,union_pixels,mask_iou,sam2_to_anomaly_area_ratio
pcb1,1,4880,pcb1/005,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0018585084005644753,2.0,15.105582621707567,small,thin,0.09951512352805357,0.26215162180157897,0.1626364982735254,0.27753375630388805,0.17801863277583446,0.015382134502309075,0.052363017859312355,0.15084838533114395,0.09848536747183159,0.16112580279561767,0.10876278493630531,0.01027741746447372,0.7820802330970764,31856.0,18234.0,9502.0,40588.0,0.2341086035281364,0.572388247112004
pcb1,1,4880,pcb1/0027,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7621853351593018,5799.0,6678.0,3497.0,8980.0,0.3894209354120267,1.1515778582514227
pcb1,1,4880,pcb1/006,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.001894453763612642,2.0,7.85429084935232,small,medium,0.06590173580464842,0.028808864265927978,-0.03709287153872044,0.04106173925795571,-0.024839996546692708,0.012252874992027735,0.03407362336477031,0.01461495222034851,-0.019458671144421798,0.020961221739781405,-0.013112401624988904,0.006346269519432894,0.7677345871925354,10750.0,7984.0,3973.0,14761.0,0.2691552062868369,0.7426976744186047
pcb1,1,4880,pcb1/0046,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7886779308319092,6037.0,3922.0,1591.0,8368.0,0.19012906309751434,0.6496604273645851
pcb1,1,4880,pcb1/007,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.001840535719040392,2.0,11.6415077506147,small,thin,0.09913511749347259,0.10908816197023495,0.00995304447676236,0.08952134540750324,-0.00961377208596935,-0.01956681656273171,0.05215263767867107,0.05769077107471035,0.005538133396039278,0.04685807150595883,-0.005294566172712241,-0.01083269956875152,0.6969774961471558,21747.0,10472.0,4965.0,27254.0,0.18217509356424744,0.4815376833586242
pcb1,1,4880,pcb1/0100,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8244084119796753,2501.0,2202.0,1062.0,3641.0,0.29167811040922825,0.8804478208716513
pcb1,1,4880,pcb1/008,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0024888835636499187,1.0,9.78349570209345,medium,medium,0.2155367658160954,0.0,-0.2155367658160954,0.0,-0.2155367658160954,0.0,0.12078520962897153,0.0,-0.12078520962897153,0.0,-0.12078520962897153,0.0,0.7634121775627136,22753.0,5828.0,3646.0,24935.0,0.14622017244836574,0.25614204720256667
pcb1,1,4880,pcb1/0107,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7916551828384399,3107.0,3244.0,1324.0,5027.0,0.26337776009548436,1.044093981332475
pcb1,1,4880,pcb1/009,1,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.003174508081050137,1.0,12.746345283001116,medium,thin,0.0744454093313334,0.02826500952190037,-0.046180399809433025,0.03524098615532687,-0.039204423176006524,0.0069759766334265005,0.03866180148415399,0.014335095567303781,-0.02432670591685021,0.01793654382395056,-0.02072525766020343,0.0036014482566467786,0.7556408047676086,20565.0,15185.0,8738.0,27012.0,0.3234858581371242,0.738390469243861
pcb1,1,4880,pcb1/0159,0,dinov2_multi__pcb1__fold0__k1__seed4880,dinov2_multi_sam2__pcb1__fold0__k1__seed4880,anomaly_consistent_sam2__pcb1__fold0__k1__seed4880,0.0,0.0,0.0,normal,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7558804154396057,8465.0,6875.0,3815.0,11525.0,0.33101952277657265,0.8121677495569994
