variant,method,k,seed,category,metric,mean,num_categories,aggregation,uncertainty_scope
crop768_o025_mean,dinov2_multi,4,4880,pcb3,aupro,0.8452415453957528,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb4,aupro,0.784215544026075,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,macro,aupro,0.8188370684553979,4,category_macro,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb1,aupro,0.9192008648852309,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb2,aupro,0.8516716532914425,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb3,aupro,0.7687967164015952,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb4,aupro,0.7356790392433231,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,macro,aggregate_pixel_f1,0.2490976529697368,4,category_macro,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb1,aggregate_pixel_f1,0.527373261202764,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb2,aggregate_pixel_f1,0.16285006588794138,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb3,aggregate_pixel_f1,0.14192098171413584,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb4,aggregate_pixel_f1,0.16424630307410598,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,macro,aggregate_pixel_f1,0.2838256849323727,4,category_macro,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb1,aggregate_pixel_f1,0.5687952158308321,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb2,aggregate_pixel_f1,0.19926665815131778,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb3,aggregate_pixel_f1,0.19756828830311696,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb4,aggregate_pixel_f1,0.16967257744422393,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,macro,aggregate_pixel_f1,0.32051700090171864,4,category_macro,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb1,aggregate_pixel_f1,0.5663686177969095,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb2,aggregate_pixel_f1,0.2138617962438034,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb3,aggregate_pixel_f1,0.25350617616998333,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb4,aggregate_pixel_f1,0.2483314133961783,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,macro,aggregate_pixel_f1,0.2885712101411397,4,category_macro,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb1,aggregate_pixel_f1,0.5637667823071082,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb2,aggregate_pixel_f1,0.20426166345363136,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb3,aggregate_pixel_f1,0.20431284436885613,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb4,aggregate_pixel_f1,0.181943550434963,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,macro,aggregate_pixel_iou,0.1531528591200549,4,category_macro,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb1,aggregate_pixel_iou,0.3581174015850715,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb2,aggregate_pixel_iou,0.08864277371386727,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb3,aggregate_pixel_iou,0.07638048776045185,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb4,aggregate_pixel_iou,0.08947077342082907,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,macro,aggregate_pixel_iou,0.17759885607244036,4,category_macro,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb1,aggregate_pixel_iou,0.39742405987066676,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb2,aggregate_pixel_iou,0.11065861530988544,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb3,aggregate_pixel_iou,0.10961207962609473,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb4,aggregate_pixel_iou,0.09270066948311455,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,macro,aggregate_pixel_iou,0.20042822697590112,4,category_macro,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb1,aggregate_pixel_iou,0.39505874719801354,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb2,aggregate_pixel_iou,0.11973418170780865,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb3,aggregate_pixel_iou,0.1451514873462597,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb4,aggregate_pixel_iou,0.1417684916515226,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,macro,aggregate_pixel_iou,0.18003378021610117,4,category_macro,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb1,aggregate_pixel_iou,0.39253150210014,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb2,aggregate_pixel_iou,0.11374801066310979,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb3,aggregate_pixel_iou,0.11377975485771336,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb4,aggregate_pixel_iou,0.10007585324344154,1,within_category,descriptive_single_support_seed
area_cap_010,dinov2_multi_sam2,4,4880,macro,mean_anomaly_mask_f1,0.3105281398746248,4,category_macro,descriptive_single_support_seed
area_cap_010,dinov2_multi_sam2,4,4880,pcb1,mean_anomaly_mask_f1,0.36356844887027656,1,within_category,descriptive_single_support_seed
area_cap_010,dinov2_multi_sam2,4,4880,pcb2,mean_anomaly_mask_f1,0.33661078102485503,1,within_category,descriptive_single_support_seed
area_cap_010,dinov2_multi_sam2,4,4880,pcb3,mean_anomaly_mask_f1,0.27503152084112825,1,within_category,descriptive_single_support_seed
area_cap_010,dinov2_multi_sam2,4,4880,pcb4,mean_anomaly_mask_f1,0.2669018087622393,1,within_category,descriptive_single_support_seed
area_cap_050,dinov2_multi_sam2,4,4880,macro,mean_anomaly_mask_f1,0.3105281398746248,4,category_macro,descriptive_single_support_seed
area_cap_050,dinov2_multi_sam2,4,4880,pcb1,mean_anomaly_mask_f1,0.36356844887027656,1,within_category,descriptive_single_support_seed
area_cap_050,dinov2_multi_sam2,4,4880,pcb2,mean_anomaly_mask_f1,0.33661078102485503,1,within_category,descriptive_single_support_seed
area_cap_050,dinov2_multi_sam2,4,4880,pcb3,mean_anomaly_mask_f1,0.27503152084112825,1,within_category,descriptive_single_support_seed
area_cap_050,dinov2_multi_sam2,4,4880,pcb4,mean_anomaly_mask_f1,0.2669018087622393,1,within_category,descriptive_single_support_seed
area_cap_none,dinov2_multi_sam2,4,4880,macro,mean_anomaly_mask_f1,0.3105281398746248,4,category_macro,descriptive_single_support_seed
area_cap_none,dinov2_multi_sam2,4,4880,pcb1,mean_anomaly_mask_f1,0.36356844887027656,1,within_category,descriptive_single_support_seed
area_cap_none,dinov2_multi_sam2,4,4880,pcb2,mean_anomaly_mask_f1,0.33661078102485503,1,within_category,descriptive_single_support_seed
area_cap_none,dinov2_multi_sam2,4,4880,pcb3,mean_anomaly_mask_f1,0.27503152084112825,1,within_category,descriptive_single_support_seed
area_cap_none,dinov2_multi_sam2,4,4880,pcb4,mean_anomaly_mask_f1,0.2669018087622393,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,macro,mean_anomaly_mask_f1,0.2163797784615615,4,category_macro,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb1,mean_anomaly_mask_f1,0.2898751562463699,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb2,mean_anomaly_mask_f1,0.23138563415063826,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb3,mean_anomaly_mask_f1,0.16601640631965467,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb4,mean_anomaly_mask_f1,0.1782419171295833,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,macro,mean_anomaly_mask_f1,0.25330252679559057,4,category_macro,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb1,mean_anomaly_mask_f1,0.34361220408324056,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb2,mean_anomaly_mask_f1,0.2606491111209602,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb3,mean_anomaly_mask_f1,0.21378830074431948,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb4,mean_anomaly_mask_f1,0.1951604912338421,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,macro,mean_anomaly_mask_f1,0.3071986756916415,4,category_macro,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb1,mean_anomaly_mask_f1,0.37436540867078094,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb2,mean_anomaly_mask_f1,0.2873541981528718,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb3,mean_anomaly_mask_f1,0.28636475517624105,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb4,mean_anomaly_mask_f1,0.28071034076667234,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,macro,mean_anomaly_mask_f1,0.2634842252047812,4,category_macro,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb1,mean_anomaly_mask_f1,0.3454170071577427,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb2,mean_anomaly_mask_f1,0.2744168391953592,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb3,mean_anomaly_mask_f1,0.22813465553097656,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb4,mean_anomaly_mask_f1,0.20596839893504648,1,within_category,descriptive_single_support_seed
fusion_selective,anomaly_consistent_sam2,4,4880,macro,mean_anomaly_mask_f1,0.32630148203204556,4,category_macro,descriptive_single_support_seed
fusion_selective,anomaly_consistent_sam2,4,4880,pcb1,mean_anomaly_mask_f1,0.41346103001240897,1,within_category,descriptive_single_support_seed
fusion_selective,anomaly_consistent_sam2,4,4880,pcb2,mean_anomaly_mask_f1,0.36419350507768017,1,within_category,descriptive_single_support_seed
fusion_selective,anomaly_consistent_sam2,4,4880,pcb3,mean_anomaly_mask_f1,0.30066681697586234,1,within_category,descriptive_single_support_seed
fusion_selective,anomaly_consistent_sam2,4,4880,pcb4,mean_anomaly_mask_f1,0.22688457606223075,1,within_category,descriptive_single_support_seed
fusion_union,anomaly_consistent_sam2,4,4880,macro,mean_anomaly_mask_f1,0.26116422009362955,4,category_macro,descriptive_single_support_seed
fusion_union,anomaly_consistent_sam2,4,4880,pcb1,mean_anomaly_mask_f1,0.3296237747150895,1,within_category,descriptive_single_support_seed
fusion_union,anomaly_consistent_sam2,4,4880,pcb2,mean_anomaly_mask_f1,0.2588932129913904,1,within_category,descriptive_single_support_seed
fusion_union,anomaly_consistent_sam2,4,4880,pcb3,mean_anomaly_mask_f1,0.22743617771556665,1,within_category,descriptive_single_support_seed
fusion_union,anomaly_consistent_sam2,4,4880,pcb4,mean_anomaly_mask_f1,0.22870371495247152,1,within_category,descriptive_single_support_seed
prompt_box,dinov2_multi_sam2,4,4880,macro,mean_anomaly_mask_f1,0.30930051514840484,4,category_macro,descriptive_single_support_seed
prompt_box,dinov2_multi_sam2,4,4880,pcb1,mean_anomaly_mask_f1,0.34938777518987435,1,within_category,descriptive_single_support_seed
prompt_box,dinov2_multi_sam2,4,4880,pcb2,mean_anomaly_mask_f1,0.33353179777331904,1,within_category,descriptive_single_support_seed
prompt_box,dinov2_multi_sam2,4,4880,pcb3,mean_anomaly_mask_f1,0.2778651798689631,1,within_category,descriptive_single_support_seed
prompt_box,dinov2_multi_sam2,4,4880,pcb4,mean_anomaly_mask_f1,0.27641730776146284,1,within_category,descriptive_single_support_seed
prompt_point_box_center,dinov2_multi_sam2,4,4880,macro,mean_anomaly_mask_f1,0.31767813794146105,4,category_macro,descriptive_single_support_seed
prompt_point_box_center,dinov2_multi_sam2,4,4880,pcb1,mean_anomaly_mask_f1,0.38064915013754536,1,within_category,descriptive_single_support_seed
prompt_point_box_center,dinov2_multi_sam2,4,4880,pcb2,mean_anomaly_mask_f1,0.3319507897076782,1,within_category,descriptive_single_support_seed
prompt_point_box_center,dinov2_multi_sam2,4,4880,pcb3,mean_anomaly_mask_f1,0.2802252253421791,1,within_category,descriptive_single_support_seed
prompt_point_box_center,dinov2_multi_sam2,4,4880,pcb4,mean_anomaly_mask_f1,0.2778873865784416,1,within_category,descriptive_single_support_seed
prompt_point_max,dinov2_multi_sam2,4,4880,macro,mean_anomaly_mask_f1,0.07799870474900078,4,category_macro,descriptive_single_support_seed
prompt_point_max,dinov2_multi_sam2,4,4880,pcb1,mean_anomaly_mask_f1,0.06368939553429942,1,within_category,descriptive_single_support_seed
prompt_point_max,dinov2_multi_sam2,4,4880,pcb2,mean_anomaly_mask_f1,0.049710985286195136,1,within_category,descriptive_single_support_seed
prompt_point_max,dinov2_multi_sam2,4,4880,pcb3,mean_anomaly_mask_f1,0.04787956909987164,1,within_category,descriptive_single_support_seed
prompt_point_max,dinov2_multi_sam2,4,4880,pcb4,mean_anomaly_mask_f1,0.15071486907563694,1,within_category,descriptive_single_support_seed
area_cap_010,dinov2_multi_sam2,4,4880,macro,mean_anomaly_mask_iou,0.21073219963989764,4,category_macro,descriptive_single_support_seed
