variant,run_id,method,category,k,seed,threshold_policy,image_auroc,pixel_auroc,aupro,aggregate_pixel_f1,aggregate_pixel_iou,mean_anomaly_mask_f1,mean_anomaly_mask_iou,mean_anomaly_mask_precision,mean_anomaly_mask_recall,git_commit,git_dirty,manifest_path,manifest_sha256,effective_execution_sha256,run_spec_sha256
crop768_o050_max,dinov2_multi__pcb3__fold0__k4__seed4880__crop768_o050_max,dinov2_multi,pcb3,4,4880,normal_q995,0.7137623762376237,0.93198429724253,0.7687967164015952,0.20431284436885613,0.11377975485771336,0.22813465553097656,0.14205889820082232,0.17858516983763562,0.4228929474469006,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,cb79d2416518529af4e13cdb75b63b346091ae3bb9e406dbe063abd9fa2aef46,fd162948ec313fcadf907e9ead66baf035aad1e68c0ae41098a6c1a674122c39
crop768_o050_max,dinov2_multi__pcb4__fold0__k4__seed4880__crop768_o050_max,dinov2_multi,pcb4,4,4880,normal_q995,0.7508910891089109,0.9060623198424552,0.7356790392433231,0.181943550434963,0.10007585324344154,0.20596839893504648,0.12209077791778121,0.20731771225630882,0.2952820779153422,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,2859401dd8498a4b524e5b2fd913c2a46b96e07e472d2ab167eef0512ed36f49,ad53694f77316838d7f3731c183b7c0c139bcf785a3b7e48ef270af812bbea4b
crop768_o025_mean,dinov2_multi__pcb1__fold0__k4__seed4880__crop768_o025_mean,dinov2_multi,pcb1,4,4880,normal_q995,0.7493,0.9952736259146708,0.9463168305730812,0.5663686177969095,0.39505874719801354,0.37436540867078094,0.26189916882878533,0.27304167141907104,0.7816336761515308,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,9fa33474890e4f8d7c5dacad2c0d70250876117030db8d05f401bd7b5786b2f5,c31ec5518b0bc1a690b929298646f46ef6b67c493ae152767610094301a8b90e
crop768_o025_mean,dinov2_multi__pcb2__fold0__k4__seed4880__crop768_o025_mean,dinov2_multi,pcb2,4,4880,normal_q995,0.8261,0.9689470241375314,0.8625342043429329,0.2138617962438034,0.11973418170780865,0.2873541981528718,0.17975643216286308,0.1949894973362456,0.6844737715495246,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,0ebeb4084ac2e4b6acbf7fca34ad6075ec641f9f61dc9a297afed17df290aa55,411c1485a3b012c76fe72c936050c6c8312a3ad0a292c1a1880b22e7213dbf8f
crop768_o025_mean,dinov2_multi__pcb3__fold0__k4__seed4880__crop768_o025_mean,dinov2_multi,pcb3,4,4880,normal_q995,0.8631683168316832,0.9685791043157778,0.8452415453957528,0.25350617616998333,0.1451514873462597,0.28636475517624105,0.1809594239305342,0.20376700080742197,0.6503383374496287,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,67be0c8a6ae104fa7b87b3e5abe3d0594a7fe1b0a6a1f2ac784572c844d27ae2,9cfedd15f786d008e33007e1a7640954b25dff32e20e7b1a6e9db0dec41f5c31
crop768_o025_mean,dinov2_multi__pcb4__fold0__k4__seed4880__crop768_o025_mean,dinov2_multi,pcb4,4,4880,normal_q995,0.8614851485148515,0.9297185099846176,0.784215544026075,0.2483314133961783,0.1417684916515226,0.28071034076667234,0.17205953179619626,0.26003643721358904,0.4480827116994175,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,d965e42e8d08ee2e975cc2e8053d8725e29bf14ee7bc46deb6644810e980c480,87759fd7ff566836f282e24233081ab70676defaad5f57b488373b3665576119
prompt_point_max,dinov2_multi_sam2__pcb1__fold0__k4__seed4880__prompt_point_max,dinov2_multi_sam2,pcb1,4,4880,binary_model_output,,,,,,0.06368939553429942,0.03999595909443144,0.04066926421225836,0.7398596396886694,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,7166f6ce9763deab2f800d62623a859c7ed4595abdf101b5e807b349dba08217,06dbe59750fa83188bbc4605faafe404f0bdcca3dc77788b9e348dbf66ae0fe3
prompt_point_max,dinov2_multi_sam2__pcb2__fold0__k4__seed4880__prompt_point_max,dinov2_multi_sam2,pcb2,4,4880,binary_model_output,,,,,,0.049710985286195136,0.027823965080424326,0.029892382314466857,0.6027465101843282,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,a4a5da89ee802a2699730cb98f67c4eb8206b3ffd9d431df7805af61b63f4391,4d5b7f2e177eee8b619e1578c0dba649ce1a2391decabe0c47db8c3035802323
prompt_point_max,dinov2_multi_sam2__pcb3__fold0__k4__seed4880__prompt_point_max,dinov2_multi_sam2,pcb3,4,4880,binary_model_output,,,,,,0.04787956909987164,0.026460597526625412,0.027620631042491524,0.7940139096065942,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,cb89936698c2179b8895007bd05ccc6b3e4a02579f8505a8c9761e84dd410a9e,6e6509ebfaf2fd08beb293bbfb8698f38e6686cc641c270164d510b39c73005c
prompt_point_max,dinov2_multi_sam2__pcb4__fold0__k4__seed4880__prompt_point_max,dinov2_multi_sam2,pcb4,4,4880,binary_model_output,,,,,,0.15071486907563694,0.09083357922017644,0.09748961437820097,0.7202441635282095,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,90f320147592c4b43110c4ec9fc043c26cb74aa97b80d479697e3b8902dc545b,08fd3df4a37c930117266657f762cb3e71b7f8ca9e6ac9cb8c1228374a5c3110
prompt_box,dinov2_multi_sam2__pcb1__fold0__k4__seed4880__prompt_box,dinov2_multi_sam2,pcb1,4,4880,binary_model_output,,,,,,0.34938777518987435,0.23560314646425845,0.28599255641983473,0.6275393653354304,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,79949ebbddbf019e23ce4d804a19b7a36dc6707b6391e4a422ac8d8a6ca244a9,d9ad3194f8132ed6ccff92e92a760189c126a3d4ff8ce8b532b2e404931d9a61
prompt_box,dinov2_multi_sam2__pcb2__fold0__k4__seed4880__prompt_box,dinov2_multi_sam2,pcb2,4,4880,binary_model_output,,,,,,0.33353179777331904,0.22358936870043988,0.24654158806312335,0.6054173832008098,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,cde6cee6a32d4265903692f0ad816ae41f8bbd4019be9650f77e1072fc05aa53,f3ad8bb421984adacbb0f9b37ea6597cec7a177e28f6564ac30326d69818fc0e
prompt_box,dinov2_multi_sam2__pcb3__fold0__k4__seed4880__prompt_box,dinov2_multi_sam2,pcb3,4,4880,binary_model_output,,,,,,0.2778651798689631,0.1902355512709189,0.22871511905459393,0.4457549093161887,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,769e8144b104ac8608f3ad2c96653362885b6f8c3bf64b473669d2fd522cdc5a,c161cad258a410484803c9b7ae59a4d9956da4e7d5beab8e71f98ed2494a07cf
prompt_box,dinov2_multi_sam2__pcb4__fold0__k4__seed4880__prompt_box,dinov2_multi_sam2,pcb4,4,4880,binary_model_output,,,,,,0.27641730776146284,0.17932193708582325,0.3247115525044853,0.32197687839281797,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,81ed7e97074e8c4a43a1435c0fbff6cba0efe69d0afb268418d89412d0c8e58b,5c14303ff7eb0bd0057cbbecb987c2e8e9c7476b9b5be692eba2556eb5b9f997
prompt_point_box_center,dinov2_multi_sam2__pcb1__fold0__k4__seed4880__prompt_point_box_center,dinov2_multi_sam2,pcb1,4,4880,binary_model_output,,,,,,0.38064915013754536,0.27327185320083175,0.2987019844089697,0.6583742118153093,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,af33dde9c8d09430dea54bc9c1ef26b5a0d1b4aec8798f43c9e006c28cc1d73d,97068f361acca4c06fde3859a4b377d23ca061218a0f87839fffe3ff7c3f9c92
prompt_point_box_center,dinov2_multi_sam2__pcb2__fold0__k4__seed4880__prompt_point_box_center,dinov2_multi_sam2,pcb2,4,4880,binary_model_output,,,,,,0.3319507897076782,0.2241172000264351,0.2469006180360873,0.5907766137339033,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,7753a589423890ef7bec2a7c1d32136097041fa6b5c445ee9da22c9d6ddb1493,80c9acb5228e7bb5290f6083124aa03d5029afcb56a223ba3e13f705a88a4125
